Class,Financial Distress,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83
0,10.636,1.281,22.934,87.454,1.2164,6.094,18.827,5.251,18.854,18.279,64.489,85.822,2.1958,12.546,6.9706,4.6512,501,2.1984,18.265,24.978,27.264,1.4173,9.5554,14.872,66.995,214.76,12.641,6.4607,43.835,20.459,35.179,8.3161,28.922,76.606,2.5825,77.4,26.722,1.6307,15.016,54.783,1.273,9.6951,-73.622,98.559,18.016,1.5006,26.224,7.0513,1174.9,5.3399,85.128,12.837,61.737,1.809,209.87,-58.255,47.101,1.099,0,0,22.009,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4,36,85.437,27.07,26.102,16,16,0.2,22,6.039,30,49
0,-45.597,1.27,64.542,82.067,1.1949,-1.408,18.104,62.288,6.423,35.991,17.951,85.152,-48.644,17.933,4.5764,3.7521,-14.011,2.4575,27.558,28.804,41.102,1.1801,7.2952,56.026,67.048,38.242,12.877,5.5506,26.548,15.019,41.763,9.5276,41.561,81.699,2.6033,95.947,75.797,83.754,27.425,45.434,13.774,5.6035,-64.385,1.3019,46.857,1.1995,78.645,4.6022,1062.5,3.7389,94.397,12.881,-56.494,56.298,250.14,-47.477,38.599,36.933,0,0,0,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,1.896,15.6,24.579,0,36,107.09,31.31,30.194,17,16,0.4,22,10.636,31,50
0,-32.539,1.0529,-59.379,92.242,72.926,20.476,44.865,43.292,-81.423,-7.654,-54.324,89.314,4.122,77.578,11.89,2.4884,28.077,1.3957,12.595,68.116,14.847,81.652,7.1204,6.522,84.827,-498.39,13.225,16.254,41.657,74.149,36.723,9.3513,50.356,91.962,1.4931,144.67,-66.483,95.579,1.727,28.059,10.242,9.4003,-14.032,75.746,-57.976,57.832,-64.373,11.988,651.15,10.934,93.478,12.909,41.625,47.562,280.55,-1,48.844,53.299,37.854,51.907,0,3.6373,7.0213,1.1538,9.8951,6.4467,30.245,10.3,8747,11.946,15.2,20.7,0,35,120.87,36.07,35.273,17,15,-0.2,22,-45.597,32,51
1,-56.657,1.1131,-15.229,85.888,80.974,76.037,91.033,67.546,-18.807,-10.791,-65.316,89.581,9.949,14.112,6.0862,1.6382,93.904,2.0588,11.601,94.385,14.415,90.391,7.9828,12.516,80.478,-75.867,13.305,8.895,83.774,54.098,5.436,7.0909,67.133,93.701,2.3533,219.75,-17,38.335,14.327,20.337,10.143,5.7379,72.205,1.3912,-15.013,64.508,-17.731,6.1114,703.04,5.7028,87.484,13.094,1.084,10.135,413.74,565,34.408,73.356,3.66E-05,4.53E-05,0,5.1442,9.9099,2.0408,-14.903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4,33,54.806,39.8,38.377,17.167,16,5.6,22,-32.539,33,52
0,1.3573,1.0623,10.702,8.146,83.593,19.996,478,742,12.803,57.725,94.075,81.549,3.0147,1.854,4.3938,1.6169,23.921,3.0311,68.143,79.346,88.763,1.0251,4.7463,26.602,7.677,1423.1,11.575,17.488,62.077,46.907,56.963,9.4861,68.143,94.242,4.1296,222.65,13.123,25.301,81.518,35.301,17.612,4.5088,-11.339,1.0527,60.766,25.782,13.138,4.4151,2465.4,4.1408,73.398,11.396,25.031,22.237,315.34,-60.101,20.242,1.2291,-2.491,-298,22.688,7.1241,15.381,3.2702,17.872,34.692,30.087,12.8,7991.4,364.95,15.8,61.476,4,36,85.437,27.07,26.102,16,16,0.2,29,1.251,7,27
0,71.875,1.0558,81.916,87.949,68.673,14.263,43.102,77.198,11.928,67.973,63.605,81.574,2.3646,12.051,7.2978,1.2609,20.769,2.9089,12.307,87.834,15.929,84.185,3.8821,23.988,77.264,1748,12.048,15.933,60.471,10.685,59.646,5.5914,86.856,87.851,3.8269,285.5,10.042,8.866,17.922,31.829,1.769,5.6983,22.828,68.127,46.308,35.765,93.141,7.3356,2571.6,6.4112,76.012,11.672,22.394,16.473,412.79,10.245,17.945,61.177,-11.241,-16.369,22.445,7.4166,7.105,14.321,18.77,124.76,26.124,11.8,8322.8,1.896,15.6,24.579,0,36,107.09,31.31,30.194,17,16,0.4,29,1.3573,8,28
0,1.2002,97.059,76.064,90.677,8.098,16.592,-24.649,7.366,93.929,81.591,58.253,8.134,2.7302,93.225,9.7267,1.5041,20.489,3.4966,20.875,75.045,24.909,99.557,4.5406,24.266,83.805,938.5,12.193,-32.853,15.642,68.724,61.731,5.1689,7.623,92.421,4.6169,239.35,93.513,73.718,25.778,36.366,17.835,8.6864,73.799,52.272,42.649,-2.644,83.884,9.7846,1150.3,8.9895,75.734,11.982,22.186,19.651,592.09,35.586,1.754,16.591,-17.866,-22.062,22.402,3.6373,7.0213,1.1538,9.8951,6.4467,30.245,10.3,8747,11.946,15.2,20.7,0,35,120.87,36.07,35.273,17,15,-0.2,29,71.875,9,29
0,2.2348,1.059,1.302,81.811,87.599,23.445,45.576,78.727,14.864,71.584,92.603,8.181,3.1209,18.189,4.4979,1.5652,26.764,3.3634,36.553,85.757,47.316,1.0708,4.9847,3.025,77.253,1687.5,12.242,19.221,50.427,45.585,60.819,4.679,69.429,94.428,4.8221,230,15.915,25.062,41.728,13.629,17.574,4.8161,79.808,1.035,7.409,25.057,15.915,4.5109,2357.4,4.2473,6.975,12.11,28.792,26.499,698.67,28.522,18.166,35.049,-26.267,-29.986,18.291,5.1442,9.9099,2.0408,-14.903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4,33,54.806,39.8,38.377,17.167,16,5.6,29,1.2002,10,30
0,1.3405,1.1245,14.784,75.871,1.0799,27.644,89.408,80.356,1.369,61.271,15.897,8.074,4.3773,24.129,3.1444,2.043,25.598,3.6609,19.331,58.481,26.924,1.3375,5.7869,32.718,71.799,2078.3,12.324,12.079,84.656,40.716,57.695,2.5889,53.425,94.634,5.4411,176.22,18.311,16.874,179,33.717,18.661,4.4756,23.159,1.293,79.223,37.054,19.486,3.1507,3392,2.9756,67.282,12.4,27.446,35.333,1042.5,10.378,19.848,1.518,-74.243,-68.748,22.221,5.3189,5.7874,3.9589,4.1343,3.8227,39.432,11.3,9225.9,-43.911,11.9,25.157,4,31,59.806,44.53,42.822,15.5,14,2.1,29,2.2348,11,31
0,2.0474,1.5998,26.246,54.615,1.3127,36.948,29.664,85.364,19.993,5.783,24.735,79.121,11.065,45.385,1.2034,3.8466,28.146,2.9343,66.418,25.436,13.429,1.6592,6.8246,32.877,49.458,1422.4,12.469,4.4254,15.651,51.575,42.219,3.3851,32.161,90.557,4.3715,93.59,33.172,11.364,50.595,40.583,19.235,2.8925,1.0531,2.3595,1.3645,6.536,48.057,1.2045,2459.5,1.0897,67.123,12.741,29.263,43.159,1416.9,34.494,3.003,19.207,-14.027,-10.685,22.399,6.7298,11.801,-1.823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2,29,66.262,52.74,49.206,15.5,12,-6.4,29,1.3405,12,32
